
 Sensibility Analysis parameter: Particle Collision - First method - Maximun number of iterations

 Problem: FT20

 Method : Single Similar Particle Collision

 with the following fixed parameters:

	 Population size: 12
	 Perturbation method: M1
	 Exploitation method: Taboo Search

 With the following fixed parameters:

	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 100

	 Number of iterations: 10


 Results:



 Solution:    1

 Convergence Analysis:

    0	      2176
    1	      1213
    2	      1199
    3	      1198
    4	      1191
    5	      1191
    6	      1191
    7	      1181
    8	      1179
    9	      1179
   10	      1179
   11	      1179
   12	      1179
   13	      1179
   14	      1179
   15	      1179
   16	      1179
   17	      1179
   18	      1179
   19	      1179
   20	      1179
   21	      1179
   22	      1179
   23	      1179
   24	      1179
   25	      1179
   26	      1179
   27	      1179
   28	      1179
   29	      1179
   30	      1179
   31	      1179
   32	      1179
   33	      1179
   34	      1171
   35	      1171
   36	      1171
   37	      1171
   38	      1171
   39	      1171
   40	      1171
   41	      1171
   42	      1171
   43	      1171
   44	      1171
   45	      1171
   46	      1171
   47	      1171
   48	      1171
   49	      1171
   50	      1171
   51	      1171
   52	      1171
   53	      1171
   54	      1171
   55	      1171
   56	      1171
   57	      1171
   58	      1171
   59	      1171
   60	      1171
   61	      1171
   62	      1171
   63	      1171
   64	      1171
   65	      1171
   66	      1171
   67	      1171
   68	      1171
   69	      1171
   70	      1171
   71	      1171
   72	      1171
   73	      1171
   74	      1171
   75	      1171
   76	      1171
   77	      1171
   78	      1171
   79	      1171
   80	      1171
   81	      1171
   82	      1171
   83	      1171
   84	      1171
   85	      1171
   86	      1171
   87	      1171
   88	      1171
   89	      1171
   90	      1171
   91	      1171
   92	      1171
   93	      1171
   94	      1171
   95	      1171
   96	      1171
   97	      1171
   98	      1171
   99	      1171
  100	      1171

 Final results:



 Solution:    2

 Convergence Analysis:

    0	      2086
    1	      1165

 Final results:



 Solution:    3

 Convergence Analysis:

    0	      2221
    1	      1229
    2	      1228
    3	      1216
    4	      1211
    5	      1211
    6	      1205
    7	      1205
    8	      1205
    9	      1205
   10	      1205
   11	      1191
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1177
   23	      1177
   24	      1177
   25	      1177
   26	      1177
   27	      1177
   28	      1177
   29	      1177
   30	      1177
   31	      1177
   32	      1177
   33	      1177
   34	      1177
   35	      1177
   36	      1177
   37	      1177
   38	      1177
   39	      1177
   40	      1177
   41	      1177
   42	      1177
   43	      1177
   44	      1177
   45	      1177
   46	      1177
   47	      1177
   48	      1177
   49	      1177
   50	      1177
   51	      1177
   52	      1177
   53	      1177
   54	      1177
   55	      1177
   56	      1177
   57	      1177
   58	      1177
   59	      1177
   60	      1177
   61	      1177
   62	      1177
   63	      1177
   64	      1177
   65	      1177
   66	      1177
   67	      1177
   68	      1177
   69	      1177
   70	      1177
   71	      1175
   72	      1175
   73	      1175
   74	      1175
   75	      1175
   76	      1175
   77	      1175
   78	      1175
   79	      1175
   80	      1175
   81	      1175
   82	      1175
   83	      1175
   84	      1175
   85	      1175
   86	      1175
   87	      1175
   88	      1175
   89	      1175
   90	      1175
   91	      1175
   92	      1175
   93	      1175
   94	      1175
   95	      1175
   96	      1175
   97	      1175
   98	      1175
   99	      1175
  100	      1175

 Final results:



 Solution:    4

 Convergence Analysis:

    0	      2192
    1	      1201
    2	      1201
    3	      1201
    4	      1201
    5	      1183
    6	      1183
    7	      1183
    8	      1183
    9	      1183
   10	      1183
