
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: ABZ6

 Method : Hybrid Successive Application (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 10000


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      1430
    1	       947
    2	       947
    3	       947
    4	       947
    5	       947
    6	       947
    7	       947
    8	       947
    9	       947
   10	       947
   11	       947
   12	       947
   13	       947
   14	       945
   15	       945
   16	       945
   17	       947
   18	       945
   19	       945
   20	       945
   21	       945
   22	       945
   23	       945
   24	       945
   25	       945
   26	       945
   27	       945
   28	       945
   29	       945
   30	       945
   31	       945
   32	       945
   33	       945
   34	       945
   35	       945
   36	       945
   37	       945
   38	       945
   39	       945
   40	       945
   41	       945
   42	       945
   43	       945
   44	       945
   45	       945
   46	       945
   47	       945
   48	       945
   49	       945
   50	       945
   51	       945
   52	       943

 Final results:

       1000        943        35163659       7142

 Convergence Analysis:

    0	      1430
    1	       947
    2	       945
    3	       945
    4	       945
    5	       945
    6	       947
    7	       947
    8	       945
    9	       945
   10	       945
   11	       945
   12	       945
   13	       945
   14	       945
   15	       945
   16	       945
   17	       945
   18	       945
   19	       945
   20	       945
   21	       945
   22	       945
   23	       945
   24	       945
   25	       945
   26	       945
   27	       943

 Final results:

       1000        943        18778754       3805

 Convergence Analysis:

    0	      1430
    1	       947
    2	       947
    3	       945
    4	       945
    5	       945
    6	       945
    7	       945
    8	       947
    9	       945
   10	       945
   11	       945
   12	       945
   13	       945
   14	       945
   15	       945
   16	       945
   17	       945
   18	       945
   19	       945
   20	       945
   21	       945
   22	       945
   23	       945
   24	       945
   25	       945
   26	       945
   27	       945
   28	       945
   29	       945
   30	       945
   31	       945
   32	       945
   33	       945
   34	       945
   35	       945
   36	       945
   37	       945
   38	       945
   39	       945
   40	       945
   41	       945
   42	       945
   43	       945
   44	       945
   45	       945
   46	       945
   47	       945
   48	       945
   49	       945
   50	       945
   51	       945
   52	       945
   53	       945
   54	       945
   55	       945
   56	       945
   57	       945
   58	       945
   59	       945
   60	       945
   61	       945
   62	       943

 Final results:

       1000        943        42551887       8631

 Convergence Analysis:

    0	      1430
    1	       947
    2	       947
    3	       947
    4	       947
    5	       947
    6	       945
    7	       945
    8	       945
    9	       945
   10	       945
   11	       945
   12	       945
   13	       945
   14	       945
   15	       945
   16	       945
   17	       945
   18	       945
   19	       945
   20	       945
   21	       945
   22	       945
   23	       945
   24	       945
   25	       945
   26	       945
   27	       943

 Final results:

       1000        943        18622341       3779

 Convergence Analysis:

    0	      1430
    1	       947
    2	       947
    3	       947
    4	       947
    5	       947
    6	       947
    7	       947
    8	       947
    9	       947
   10	       947
   11	       947
   12	       947
   13	       947
   14	       947
   15	       947
   16	       947
   17	       947
   18	       947
   19	       947
   20	       947
   21	       945
   22	       945
   23	       945
   24	       945
   25	       945
   26	       945
   27	       945
   28	       945
   29	       945
   30	       945
   31	       945
   32	       945
   33	       945
   34	       945
   35	       945
   36	       945
   37	       945
   38	       945
   39	       945
   40	       945
   41	       945
   42	       945
   43	       945
   44	       945
   45	       945
   46	       945
   47	       945
   48	       945
   49	       945
   50	       945
   51	       945
   52	       945
   53	       945
   54	       945
   55	       945
   56	       945
   57	       945
   58	       945
   59	       945
   60	       945
   61	       945
   62	       945
   63	       945
   64	       945
   65	       945
   66	       945
   67	       945
   68	       945
   69	       945
   70	       945
   71	       945
   72	       945
   73	       945
   74	       945
   75	       945
   76	       945
   77	       945
   78	       945
   79	       945
   80	       945
   81	       945
   82	       945
   83	       945
   84	       945
   85	       945
   86	       945
   87	       945
   88	       945
   89	       945
   90	       945
   91	       945
   92	       945
   93	       945
   94	       945
   95	       945
   96	       945
   97	       945
   98	       945
   99	       945
  100	       945
  101	       945
  102	       945
  103	       945
  104	       945
  105	       945
  106	       945
  107	       945
  108	       945
  109	       945
  110	       945
  111	       945
  112	       945
  113	       945
  114	       945
  115	       945
  116	       945
  117	       945
  118	       945
  119	       945
  120	       945
  121	       945
  122	       945
  123	       945
  124	       945
  125	       945
  126	       945
  127	       945
  128	       945
  129	       945
  130	       945
  131	       945
  132	       945
  133	       945
  134	       945
  135	       945
  136	       945
  137	       945
  138	       945
  139	       945
  140	       945
  141	       945
  142	       945
  143	       945
  144	       945
  145	       945
  146	       945
  147	       945
  148	       945
  149	       945
  150	       945
  151	       945
  152	       945
  153	       945
  154	       945
  155	       945
  156	       945
  157	       945
  158	       945
  159	       945
  160	       945
  161	       945
  162	       945
  163	       945
  164	       945
  165	       945
  166	       945
  167	       945
  168	       945
  169	       945
  170	       945
  171	       945
  172	       943

 Final results:

       1000        943       117705840      23839
