
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: FT20

 Method : Hybrid Improved Neighborhood (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 300


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1173
    9	      1173
   10	      1173
   11	      1173
   12	      1170
   13	      1165

 Final results:

        100       1165          235501         52

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1177
    8	      1177
    9	      1177
   10	      1177
   11	      1177
   12	      1177
   13	      1177
   14	      1177
   15	      1177
   16	      1177
   17	      1173
   18	      1173
   19	      1173
   20	      1173
   21	      1173
   22	      1173
   23	      1173
   24	      1173
   25	      1173
   26	      1165

 Final results:

        100       1165          411297         88

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1173
    6	      1173
    7	      1173
    8	      1173
    9	      1173
   10	      1173
   11	      1173
   12	      1173
   13	      1173
   14	      1173
   15	      1173
   16	      1173
   17	      1173
   18	      1173
   19	      1173
   20	      1173
   21	      1173
   22	      1173
   23	      1173
   24	      1173
   25	      1173
   26	      1173
   27	      1173
   28	      1173
   29	      1173
   30	      1173
   31	      1173
   32	      1173
   33	      1173
   34	      1173
   35	      1173
   36	      1173
   37	      1173
   38	      1173
   39	      1173
   40	      1173
   41	      1173
   42	      1173
   43	      1173
   44	      1173
   45	      1173
   46	      1173
   47	      1173
   48	      1173
   49	      1173
   50	      1173
   51	      1173
   52	      1173
   53	      1173
   54	      1173
   55	      1173
   56	      1173
   57	      1173
   58	      1173
   59	      1173
   60	      1173
   61	      1173
   62	      1173
   63	      1173
   64	      1173
   65	      1173
   66	      1173
   67	      1173
   68	      1173
   69	      1173
   70	      1173
   71	      1173
   72	      1173
   73	      1173
   74	      1173
   75	      1173
   76	      1173
   77	      1173
   78	      1173
   79	      1173
   80	      1173
   81	      1173
   82	      1173
   83	      1173
   84	      1173
   85	      1173
   86	      1173
   87	      1173
   88	      1173
   89	      1173
   90	      1173
   91	      1173
   92	      1173
   93	      1173
   94	      1173
   95	      1173
   96	      1173
   97	      1173
   98	      1173
   99	      1173
  100	      1173

 Final results:

        100       1173         1649915        345

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1175
    3	      1172
    4	      1172
    5	      1170
    6	      1170
    7	      1170
    8	      1165

 Final results:

        100       1165          185641         39

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1173
   11	      1168
   12	      1168
   13	      1168
   14	      1168
   15	      1168
   16	      1168
   17	      1168
   18	      1168
   19	      1168
   20	      1168
   21	      1168
   22	      1168
   23	      1168
   24	      1168
   25	      1165

 Final results:

        100       1165          456028         96
