
 Sensibility Analysis parameter: Particle Collision - First method - Maximun number of iterations

 Problem: FT20

 Method : Single Similar Particle Collision

 with the following fixed parameters:

	 Population size: 12
	 Perturbation method: M1
	 Exploitation method: Taboo Search

 With the following fixed parameters:

	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 1000

	 Number of iterations: 10


 Results:



 Solution:    1

 Convergence Analysis:

    0	      2176
    1	      1175
    2	      1175
    3	      1173
    4	      1173
    5	      1173
    6	      1173
    7	      1173
    8	      1173
    9	      1173
   10	      1173
   11	      1173
   12	      1173
   13	      1170
   14	      1165

 Final results:



 Solution:    2

 Convergence Analysis:

    0	      2086
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1178
   30	      1178
   31	      1178
   32	      1165

 Final results:



 Solution:    3

 Convergence Analysis:

    0	      2221
    1	      1175
    2	      1173
    3	      1173
    4	      1173
    5	      1173
    6	      1173
    7	      1173
    8	      1173
    9	      1173
   10	      1173
   11	      1173
   12	      1172
   13	      1172
   14	      1172
   15	      1165

 Final results:



 Solution:    4

 Convergence Analysis:

    0	      2192
    1	      1165

 Final results:



 Solution:    5

 Convergence Analysis:

    0	      2000
    1	      1175
    2	      1165

 Final results:



 Solution:    6

 Convergence Analysis:

    0	      2040
    1	      1165

 Final results:



 Solution:    7

 Convergence Analysis:

    0	      2335
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1176
   11	      1170
   12	      1165

 Final results:



 Solution:    8

 Convergence Analysis:

    0	      2034
    1	      1165

 Final results:



 Solution:    9

 Convergence Analysis:

    0	      2105
    1	      1165

 Final results:



 Solution:   10

 Convergence Analysis:

    0	      2235
    1	      1183
