
 Sensibility Analysis parameter: Particle Collision - First method - Maximun number of iterations

 Problem: FT20

 Method : Single Similar Particle Collision

 with the following fixed parameters:

	 Population size: 12
	 Perturbation method: M1
	 Exploitation method: Taboo Search

 With the following fixed parameters:

	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 100

	 Number of iterations: 10


 Results:



 Solution:    1

 Convergence Analysis:

    0	      2176
    1	      1213
    2	      1213
    3	      1213
    4	      1208
    5	      1208
    6	      1208
    7	      1208
    8	      1208
    9	      1208
   10	      1208
   11	      1208
   12	      1208
   13	      1208
   14	      1208
   15	      1208
   16	      1208
   17	      1208
   18	      1208
   19	      1208
   20	      1208
   21	      1208
   22	      1208
   23	      1208
   24	      1208
   25	      1208
   26	      1208
   27	      1208
   28	      1208
   29	      1208
   30	      1208
   31	      1208
   32	      1208
   33	      1208
   34	      1208
   35	      1200
   36	      1199
   37	      1184
   38	      1184
   39	      1178
   40	      1178
   41	      1178
   42	      1178
   43	      1178
   44	      1178
   45	      1178
   46	      1178
   47	      1178
   48	      1178
   49	      1178
   50	      1178
   51	      1178
   52	      1178
   53	      1178
   54	      1178
   55	      1178
   56	      1178
   57	      1178
   58	      1178
   59	      1178
   60	      1178
   61	      1178
   62	      1178
   63	      1178
   64	      1178
   65	      1178
   66	      1178
   67	      1178
   68	      1178
   69	      1178
   70	      1178
   71	      1178
   72	      1178
   73	      1178
   74	      1178
   75	      1178
   76	      1178
   77	      1178
   78	      1178
   79	      1178
   80	      1178
   81	      1178
   82	      1178
   83	      1178
   84	      1178
   85	      1178
   86	      1178
   87	      1178
   88	      1178
   89	      1178
   90	      1178
   91	      1178
   92	      1178
   93	      1178
   94	      1178
   95	      1178
   96	      1178
   97	      1178
   98	      1178
   99	      1178
  100	      1178

 Final results:



 Solution:    2

 Convergence Analysis:

    0	      2086
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1178
   30	      1178
   31	      1178
   32	      1178
   33	      1178
   34	      1178
   35	      1178
   36	      1178
   37	      1178
   38	      1178
   39	      1178
   40	      1178
   41	      1178
   42	      1178
   43	      1178
   44	      1178
   45	      1178
   46	      1178
   47	      1178
   48	      1178
   49	      1178
   50	      1178
   51	      1178
   52	      1178
   53	      1178
   54	      1178
   55	      1178
   56	      1178
   57	      1178
   58	      1178
   59	      1178
   60	      1178
   61	      1178
   62	      1178
   63	      1178
   64	      1178
   65	      1178
   66	      1178
   67	      1178
   68	      1178
   69	      1178
   70	      1178
   71	      1178
   72	      1178
   73	      1178
   74	      1178
   75	      1178
   76	      1178
   77	      1178
   78	      1178
   79	      1178
   80	      1178
   81	      1178
   82	      1178
   83	      1178
   84	      1178
   85	      1178
   86	      1178
   87	      1178
   88	      1178
   89	      1178
   90	      1178
   91	      1178
   92	      1178
   93	      1178
   94	      1178
   95	      1178
   96	      1178
   97	      1178
   98	      1178
   99	      1178
  100	      1178

 Final results:



 Solution:    3

 Convergence Analysis:

    0	      2221
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
