
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: FT20

 Method : Hybrid Improved Neighborhood (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 100


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1180
    3	      1182
    4	      1182
    5	      1180
    6	      1180
    7	      1180
    8	      1180
    9	      1180
   10	      1180
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1177
   30	      1177
   31	      1177
   32	      1177
   33	      1177
   34	      1177
   35	      1177
   36	      1177
   37	      1177
   38	      1177
   39	      1177
   40	      1177
   41	      1177
   42	      1177
   43	      1177
   44	      1177
   45	      1177
   46	      1177
   47	      1177
   48	      1177
   49	      1177
   50	      1177
   51	      1177
   52	      1177
   53	      1177
   54	      1177
   55	      1177
   56	      1177
   57	      1177
   58	      1177
   59	      1177
   60	      1177
   61	      1177
   62	      1177
   63	      1177
   64	      1177
   65	      1177
   66	      1177
   67	      1177
   68	      1177
   69	      1177
   70	      1177
   71	      1176
   72	      1176
   73	      1176
   74	      1177
   75	      1177
   76	      1177
   77	      1177
   78	      1177
   79	      1177
   80	      1177
   81	      1177
   82	      1177
   83	      1177
   84	      1177
   85	      1177
   86	      1176
   87	      1175
   88	      1175
   89	      1175
   90	      1175
   91	      1175
   92	      1175
   93	      1175
   94	      1175
   95	      1175
   96	      1175
   97	      1175
   98	      1175
   99	      1175
  100	      1175

 Final results:

        100       1175          467452        103

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1185
    3	      1185
    4	      1179
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1173
   16	      1171
   17	      1166
   18	      1165
   19	      1165
   20	      1165
   21	      1165
   22	      1165
   23	      1165
   24	      1165
   25	      1165
   26	      1165
   27	      1165
   28	      1166
   29	      1165
   30	      1165
   31	      1165
   32	      1165
   33	      1165
   34	      1165
   35	      1165
   36	      1165
   37	      1165
   38	      1165
   39	      1165
   40	      1165
   41	      1165
   42	      1165
   43	      1165
   44	      1165
   45	      1165
   46	      1165
   47	      1165
   48	      1165
   49	      1165
   50	      1165
   51	      1165
   52	      1165
   53	      1165
   54	      1165
   55	      1165
   56	      1165
   57	      1165
   58	      1165
   59	      1165
   60	      1165
   61	      1165
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
   90	      1165
   91	      1165
   92	      1165
   93	      1165
   94	      1165
   95	      1165
   96	      1165
   97	      1165
   98	      1165
   99	      1165
  100	      1165

 Final results:

        100       1165          561952        122

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1182
    3	      1182
    4	      1182
    5	      1182
    6	      1182
    7	      1182
    8	      1178
    9	      1182
   10	      1182
   11	      1182
   12	      1180
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1178
   30	      1178
   31	      1178
   32	      1178
   33	      1178
   34	      1178
   35	      1178
   36	      1178
   37	      1178
   38	      1178
   39	      1178
   40	      1178
   41	      1178
   42	      1178
   43	      1178
   44	      1177
   45	      1178
   46	      1178
   47	      1178
   48	      1177
   49	      1177
   50	      1177
   51	      1177
   52	      1177
   53	      1177
   54	      1177
   55	      1170
   56	      1170
   57	      1170
   58	      1165
   59	      1165
   60	      1165
   61	      1165
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
   90	      1165
   91	      1165
   92	      1165
   93	      1165
   94	      1165
   95	      1165
   96	      1165
   97	      1165
   98	      1165
   99	      1165
  100	      1165

 Final results:

        100       1165          558607        119

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1206
    3	      1203
    4	      1187
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1178
   30	      1178
   31	      1178
   32	      1178
   33	      1178
   34	      1178
   35	      1178
   36	      1178
   37	      1178
   38	      1178
   39	      1178
   40	      1178
   41	      1178
   42	      1178
   43	      1178
   44	      1178
   45	      1178
   46	      1178
   47	      1178
   48	      1178
   49	      1178
   50	      1178
   51	      1178
   52	      1178
   53	      1178
   54	      1178
   55	      1178
   56	      1178
   57	      1178
   58	      1178
   59	      1178
   60	      1178
   61	      1177
   62	      1177
   63	      1177
   64	      1177
   65	      1177
   66	      1177
   67	      1177
   68	      1177
   69	      1177
   70	      1177
   71	      1177
   72	      1177
   73	      1177
   74	      1177
   75	      1177
   76	      1177
   77	      1177
   78	      1177
   79	      1177
   80	      1177
   81	      1177
   82	      1177
   83	      1177
   84	      1177
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
