
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: FT20

 Method : Hybrid Neighborhood (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 100


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      2000
    1	      1901
    2	      1224
    3	      1224
    4	      1224
    5	      1218
    6	      1208
    7	      1180
    8	      1180
    9	      1180
   10	      1180
   11	      1180
   12	      1180
   13	      1178
   14	      1177
   15	      1178
   16	      1177
   17	      1178
   18	      1177
   19	      1177
   20	      1177
   21	      1177
   22	      1177
   23	      1177
   24	      1177
   25	      1177
   26	      1177
   27	      1177
   28	      1177
   29	      1177
   30	      1173
   31	      1173
   32	      1167
   33	      1173
   34	      1165
   35	      1165
   36	      1165
   37	      1165
   38	      1165
   39	      1165
   40	      1165
   41	      1165
   42	      1165
   43	      1165
   44	      1165
   45	      1165
   46	      1165
   47	      1165
   48	      1165
   49	      1165
   50	      1165
   51	      1165
   52	      1165
   53	      1165
   54	      1165
   55	      1165
   56	      1165
   57	      1165
   58	      1165
   59	      1165
   60	      1165
   61	      1165
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
   90	      1165
   91	      1165
   92	      1165
   93	      1165
   94	      1165
   95	      1165
   96	      1165
   97	      1165
   98	      1165
   99	      1165
  100	      1165

 Final results:

        100       1165          606648        131

 Convergence Analysis:

    0	      2000
    1	      1942
    2	      1233
    3	      1214
    4	      1212
    5	      1203
    6	      1178
    7	      1177
    8	      1177
    9	      1177
   10	      1177
   11	      1177
   12	      1177
   13	      1177
   14	      1172
   15	      1172
   16	      1172
   17	      1172
   18	      1172
   19	      1172
   20	      1172
   21	      1172
   22	      1172
   23	      1172
   24	      1172
   25	      1166
   26	      1166
   27	      1166
   28	      1166
   29	      1165
   30	      1165
   31	      1165
   32	      1165
   33	      1165
   34	      1165
   35	      1165
   36	      1165
   37	      1165
   38	      1165
   39	      1165
   40	      1165
   41	      1165
   42	      1165
   43	      1165
   44	      1165
   45	      1165
   46	      1165
   47	      1165
   48	      1165
   49	      1165
   50	      1165
   51	      1165
   52	      1165
   53	      1165
   54	      1165
   55	      1165
   56	      1165
   57	      1165
   58	      1165
   59	      1165
   60	      1165
   61	      1165
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
   90	      1165
   91	      1165
   92	      1165
   93	      1165
   94	      1165
   95	      1165
   96	      1165
   97	      1165
   98	      1165
   99	      1165
  100	      1165

 Final results:

        100       1165          615652        136

 Convergence Analysis:

    0	      2000
    1	      1971
    2	      1182
    3	      1233
    4	      1267
    5	      1267
    6	      1240
    7	      1201
    8	      1201
    9	      1236
   10	      1231
   11	      1207
   12	      1199
   13	      1192
   14	      1192
   15	      1192
   16	      1192
   17	      1182
   18	      1185
   19	      1182
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1178
   30	      1178
   31	      1178
   32	      1178
   33	      1178
   34	      1169
   35	      1178
   36	      1165
   37	      1165
   38	      1165
   39	      1165
   40	      1165
   41	      1165
   42	      1165
   43	      1165
   44	      1165
   45	      1165
   46	      1165
   47	      1165
   48	      1165
   49	      1165
   50	      1165
   51	      1165
   52	      1165
   53	      1165
   54	      1165
   55	      1165
   56	      1165
   57	      1165
   58	      1165
   59	      1165
   60	      1165
   61	      1165
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
   90	      1165
   91	      1165
   92	      1165
   93	      1165
   94	      1165
   95	      1165
   96	      1165
   97	      1165
   98	      1165
   99	      1165
  100	      1165

 Final results:

        100       1165          567409        124

 Convergence Analysis:

    0	      2000
    1	      1879
    2	      1233
    3	      1227
    4	      1224
    5	      1199
    6	      1199
    7	      1199
    8	      1198
    9	      1195
   10	      1198
   11	      1198
   12	      1193
   13	      1185
   14	      1185
   15	      1185
   16	      1185
   17	      1185
   18	      1188
   19	      1193
   20	      1182
   21	      1177
   22	      1177
   23	      1177
   24	      1177
   25	      1173
   26	      1173
   27	      1173
   28	      1173
   29	      1173
   30	      1173
   31	      1173
   32	      1173
   33	      1173
   34	      1173
   35	      1173
   36	      1173
   37	      1173
   38	      1173
   39	      1173
   40	      1173
   41	      1173
   42	      1173
   43	      1173
   44	      1173
   45	      1173
   46	      1173
   47	      1173
   48	      1173
   49	      1173
   50	      1173
   51	      1173
   52	      1173
   53	      1173
   54	      1173
   55	      1173
   56	      1173
   57	      1173
   58	      1173
   59	      1173
   60	      1173
   61	      1169
   62	      1165
   63	      1165
   64	      1165
   65	      1165
   66	      1165
   67	      1165
   68	      1165
   69	      1165
   70	      1165
   71	      1165
   72	      1165
   73	      1165
   74	      1165
   75	      1165
   76	      1165
   77	      1165
   78	      1165
   79	      1165
   80	      1165
   81	      1165
   82	      1165
   83	      1165
   84	      1165
   85	      1165
   86	      1165
   87	      1165
   88	      1165
   89	      1165
